مگر اینکه ... | Unless ...
-- Pronunciation: /ˌɑbsəˈliːt/
-- Tone: Neutral
-- Synonyms: Outdated, Archaic
-- Example: 1. Floppy disks are obsolete. 2. New technology makes old devices obsolete very quickly. 3. Many traditional skills are becoming obsolete.

جامع / کامل | Comprehensive
-- Pronunciation: /ˌkɑmpriˈhɛnsɪv/
-- Tone: Formal
-- Synonyms: Complete, Thorough, Extensive
-- Example: 1. We need a comprehensive study of the market. 2. The book provides a comprehensive guide to Python programming. 3. A comprehensive insurance policy covers everything.

مختصر و مفید | Concise
-- Pronunciation: /kənˈsaɪs/
-- Tone: Positive
-- Synonyms: Brief, Succinct
-- Example: 1. Keep your report clear and concise. 2. He gave a concise summary of the meeting. 3. Be concise; we don't have much time.

مبهم / دوپهلو | Vague
-- Pronunciation: /veɪɡ/
-- Tone: Negative
-- Synonyms: Unclear, Ambiguous, Indistinct
-- Example: 1. His instructions were too vague. 2. I have a vague memory of meeting him. 3. Don't be vague; tell me exactly what happened.

کنایه‌آمیز | Ironic
-- Pronunciation: /aɪˈrɑnɪk/
-- Tone: Neutral
-- Synonyms: Sarcastic, Paradoxical
-- Example: 1. It’s ironic that a fire station burned down. 2. An ironic twist of fate changed his life. 3. "Lovely weather," he said with an ironic smile as it rained.

خسته‌کننده (کار) | Grueling
-- Pronunciation: /ˈɡruəlɪŋ/
-- Tone: Negative
-- Synonyms: Exhausting, Demanding, Tiring
-- Example: 1. It was a grueling 10-hour hike. 2. The grueling schedule left him exhausted. 3. Athletes go through grueling training sessions.

کثیف / چرک (مکان/لباس) | Filthy
-- Pronunciation: /ˈfɪlθi/
-- Tone: Strong
-- Synonyms: Dirty, Grimy
-- Example: 1. Go wash your hands; they are filthy. 2. The streets were filthy with trash. 3. He has a filthy habit of smoking in bed.

بی‌عیب و نقص | Pristine
-- Pronunciation: /ˈprɪstiːn/
-- Tone: Positive
-- Synonyms: Immaculate, Unspoiled, Perfect
-- Example: 1. The beach was in pristine condition. 2. A pristine white shirt. 3. The car is 10 years old but in pristine condition.

بدقلق / ایرادگیر | Fussy
-- Pronunciation: /ˈfʌsi/
-- Tone: Negative
-- Synonyms: Picky, Choosy, Fastidious
-- Example: 1. He is a fussy eater. 2. Don't be so fussy about the details. 3. Babies get fussy when they are tired.

ولخرج | Extravagant
-- Pronunciation: /ɪkˈstrævəɡənt/
-- Tone: Neutral
-- Synonyms: Lavish, Excessive
-- Example: 1. An extravagant wedding party. 2. Her spending habits are quite extravagant. 3. Don't make extravagant promises you can't keep.

خسیس | Stingy
-- Pronunciation: /ˈstɪndʒi/
-- Tone: Negative
-- Synonyms: Cheap, Miserly
-- Example: 1. Don't be stingy with the tip. 2. He is too stingy to buy new clothes. 3. A stingy portion of food.

هوشیار (حواس جمع) | Alert
-- Pronunciation: /əˈlɜrt/
-- Tone: Neutral
-- Synonyms: Awake, Aware, Attentive
-- Example: 1. Drivers must remain alert at all times. 2. Stay alert for any suspicious activity. 3. A cup of coffee helped me verify stay alert.

بی‌قرار | Restless
-- Pronunciation: /ˈrɛstləs/
-- Tone: Neutral
-- Synonyms: Fidgety, Uneasy, Agitated
-- Example: 1. Detailed work makes me restless. 2. The audience grew restless waiting for the show to start. 3. A restless night's sleep.

کنجکاو (فضول) | Nosy
-- Pronunciation: /ˈnoʊzi/
-- Tone: Negative
-- Synonyms: Pry, Intrusive, Meddlesome
-- Example: 1. Stop being so nosy about my private life. 2. A nosy neighbor was watching us. 3. I hate nosy questions.

خجالت‌آور | Embarrassing
-- Pronunciation: /ɪmˈbærəsɪŋ/
-- Tone: Neutral
-- Synonyms: Humiliating, Awkward
-- Example: 1. It was an embarrassing mistake. 2. An embarrassing silence followed his joke. 3. I found myself in an embarrassing situation.

توهین‌آمیز | Offensive
-- Pronunciation: /əˈfɛnsɪv/
-- Tone: Negative
-- Synonyms: Insulting, Rude
-- Example: 1. His comments were deeply offensive. 2. I find that language offensive. 3. An offensive gesture.

محترمانه | Respectful
-- Pronunciation: /rɪˈspɛktfəl/
-- Tone: Positive
-- Synonyms: Polite, Courteous
-- Example: 1. Be respectful to your elders. 2. A respectful distance. 3. He was always respectful of other people's opinions.

حیاتی / ضروری | Vital
-- Pronunciation: /ˈvaɪtəl/
-- Tone: Formal
-- Synonyms: Essential, Crucial, Critical
-- Example: 1. Water is vital for life. 2. It is vital that you attend the meeting. 3. Tourism plays a vital role in the economy.

بسیار خوشحال | Ecstatic
-- Pronunciation: /ɪkˈstætɪk/
-- Tone: Strong Positive
-- Synonyms: Overjoyed, Thrilled, Elated
-- Example: 1. I was ecstatic when I heard the news. 2. An ecstatic crowd cheered for the winner. 3. She was ecstatic about her new job.

بسیار غمگین / ویران شده | Devastated
-- Pronunciation: /ˈdɛvəˌsteɪtɪd/
-- Tone: Strong Negative
-- Synonyms: Heartbroken, Shattered
-- Example: 1. She was devastated by the loss of her dog. 2. The entire town was devastated by the earthquake. 3. He was devastated when his project failed.

عصبانی (خشمگین) | Furious
-- Pronunciation: /ˈfjʊriəs/
-- Tone: Strong Negative
-- Synonyms: Enraged, Angry, Irate
-- Example: 1. He was furious about the damage to his car. 2. A furious argument broke out. 3. She was furious with herself for missing the train.

وحشت‌زده | Terrified
-- Pronunciation: /ˈtɛrəˌfaɪd/
-- Tone: Strong Negative
-- Synonyms: Scared, Petrified
-- Example: 1. I am terrified of spiders. 2. The child looked terrified. 3. He was terrified to speak in public.

بی‌حس / کرخت | Numb
-- Pronunciation: /nʌm/
-- Tone: Neutral
-- Synonyms: Desensitized, Frozen
-- Example: 1. My fingers are numb from the cold. 2. I felt numb with shock. 3. The dentist made my jaw numb.

متورم / باد کرده | Swollen
-- Pronunciation: /ˈswoʊlən/
-- Tone: Medical
-- Synonyms: Puffy, Inflamed
-- Example: 1. His ankle is swollen. 2. Her eyes were swollen from crying. 3. A swollen river after the rain.

کبود | Bruised
-- Pronunciation: /bruːzd/
-- Tone: Medical
-- Synonyms: Black and blue
-- Example: 1. Her arm is badly bruised. 2. A bruised ego. 3. The fruit was bruised and soft.

خارش داشتن | Itchy
-- Pronunciation: /ˈɪtʃi/
-- Tone: Neutral
-- Synonyms: Irritating
-- Example: 1. The sweater is wool and very itchy. 2. My mosquito bite is so itchy. 3. I have itchy feet; I want to travel.

ترش (مزه) | Sour
-- Pronunciation: /ˈsaʊər/
-- Tone: Neutral
-- Synonyms: Tart, Acidic
-- Example: 1. These grapes are sour. 2. The milk has gone sour. 3. Don't make such a sour face.

تلخ (مزه/حقیقت) | Bitter
-- Pronunciation: /ˈbɪtər/
-- Tone: Neutral
-- Synonyms: Resentful, Acrid
-- Example: 1. Dark chocolate has a bitter taste. 2. A bitter disappointment. 3. She still feels bitter about the divorce.

بی‌مزه | Bland
-- Pronunciation: /blænd/
-- Tone: Negative
-- Synonyms: Flavorless, Tasteless
-- Example: 1. The soup was bland; it needs salt. 2. A bland diet for an upset stomach. 3. His personality is a bit bland.

تند (ادویه) | Spicy
-- Pronunciation: /ˈspaɪsi/
-- Tone: Neutral
-- Synonyms: Hot, Pungent
-- Example: 1. Do you like spicy food? 2. A spicy curry. 3. The salsa is too spicy for me.

ترد | Crispy
-- Pronunciation: /ˈkrɪspi/
-- Tone: Positive
-- Synonyms: Crunchy
-- Example: 1. I love crispy fried chicken. 2. Fresh, crispy lettuce. 3. Bake until the crust is golden and crispy.

چرب | Greasy
-- Pronunciation: /ˈɡriːsi/
-- Tone: Negative
-- Synonyms: Oily
-- Example: 1. Keep greasy food away from my keyboard. 2. Greasy hair. 3. This burger is way too greasy.

فاسد (غذا) | Rotten
-- Pronunciation: /ˈrɑtən/
-- Tone: Negative
-- Synonyms: Spoiled, Decayed
-- Example: 1. A rotten apple. 2. The wood is rotten and unsafe. 3. Something smells rotten in here.

جاادار (بزرگ) | Spacious
-- Pronunciation: /ˈspeɪʃəs/
-- Tone: Positive
-- Synonyms: Roomy, Large
-- Example: 1. A spacious apartment. 2. The back seat is quite spacious. 3. We need a more spacious office.

تنگ (مکان) | Cramped
-- Pronunciation: /kræmpt/
-- Tone: Negative
-- Synonyms: Crowded, Tiny
-- Example: 1. The airplane seat was very cramped. 2. Living in a cramped dormitory. 3. My handwriting is cramped and hard to read.

دنج | Cozy
-- Pronunciation: /ˈkoʊzi/
-- Tone: Positive
-- Synonyms: Comfortable, Snug
-- Example: 1. A cozy little cafe. 2. It feels cozy by the fireplace. 3. I have a cozy blanket.

مرتب / منظم | Tidy
-- Pronunciation: /ˈtaɪdi/
-- Tone: Positive
-- Synonyms: Neat, Organized
-- Example: 1. Keep your room tidy. 2. A tidy desk implies a tidy mind. 3. Please tidy up your toys.

درهم برهم | Messy
-- Pronunciation: /ˈmɛsi/
-- Tone: Negative
-- Synonyms: Disorganized, Untidy
-- Example: 1. His desk is always messy. 2. A messy eater. 3. The situation got messy quickly.

مایل (کج) | Tilted
-- Pronunciation: /ˈtɪltɪd/
-- Tone: Neutral
-- Synonyms: Slanted, Leaning
-- Example: 1. The picture on the wall is tilted. 2. The table is tilted; put a book under the leg. 3. He tilted his head in confusion.

وارونه | Upside down
-- Pronunciation: /ˈʌpsaɪd daʊn/
-- Tone: Neutral
-- Synonyms: Inverted
-- Example: 1. You're holding the map upside down. 2. The thieves turned the house upside down. 3. His life turned upside down after the accident.

برعکس (پشت و رو) | Inside out
-- Pronunciation: /ɪnˈsaɪd aʊt/
-- Tone: Neutral
-- Example: 1. Your t-shirt is inside out. 2. I know this city inside out. 3. The wind blew my umbrella inside out.

توخالی | Hollow
-- Pronunciation: /ˈhɑloʊ/
-- Tone: Neutral
-- Synonyms: Empty
-- Example: 1. A hollow tree trunk. 2. A hollow sound. 3. His promises rang hollow.

کم عمق | Shallow
-- Pronunciation: /ˈʃæloʊ/
-- Tone: Neutral
-- Synonyms: Superficial
-- Example: 1. The pool is shallow at this end. 2. A shallow breathing pattern. 3. He is a shallow person who only cares about looks.

شیب‌دار (تند) | Steep
-- Pronunciation: /stiːp/
-- Tone: Neutral
-- Synonyms: Sharp
-- Example: 1. A steep hill. 2. Steep prices. 3. A steep learning curve.

لغزنده | Slippery
-- Pronunciation: /ˈslɪpəri/
-- Tone: Negative
-- Synonyms: Slick
-- Example: 1. Be careful; the floor is slippery. 2. A slippery politician. 3. Ice made the road slippery.

چسبناک | Sticky
-- Pronunciation: /ˈstɪki/
-- Tone: Neutral
-- Synonyms: Tacky, Adhesive
-- Example: 1. My hands are sticky from the honey. 2. A sticky situation. 3. This tape isn't sticky enough.

زبر / خشن | Rough
-- Pronunciation: /rʌf/
-- Tone: Neutral
-- Synonyms: Coarse, Uneven
-- Example: 1. Sandpaper is rough. 2. Rough skin. 3. We had a rough flight with turbulence.

نرم (لطیف) | Smooth
-- Pronunciation: /smuːð/
-- Tone: Positive
-- Synonyms: Silky, Even
-- Example: 1. A smooth surface. 2. Everything went smooth. 3. Smooth jazz music.

کند (تیغ/چاقو) | Dull / Blunt
-- Pronunciation: /dʌl/
-- Tone: Negative
-- Synonyms: Unsharp
-- Example: 1. This knife is dull; it won't cut. 2. A dull pain. 3. Life can be dull without excitement.

تیز | Sharp
-- Pronunciation: /ʃɑrp/
-- Tone: Neutral
-- Synonyms: Acute, Keen
-- Example: 1. Watch out; the edge is sharp. 2. A sharp mind. 3. Be there at 8 o'clock sharp.

شل (پیچ/لباس) | Loose
-- Pronunciation: /luːs/
-- Tone: Neutral
-- Synonyms: Slack, Baggy
-- Example: 1. A loose tooth. 2. Loose pants are comfortable. 3. The dog got loose from the yard.

سفت / تنگ | Tight
-- Pronunciation: /taɪt/
-- Tone: Neutral
-- Synonyms: Firm, Snug
-- Example: 1. These shoes are too tight. 2. Hold on tight! 3. Money is tight this month.

ضدآب | Waterproof
-- Pronunciation: /ˈwɔtərˌpruf/
-- Tone: Neutral
-- Synonyms: Water-resistant
-- Example: 1. A waterproof jacket. 2. Is this watch waterproof? 3. Ensure the tent is waterproof.

عایق صدا | Soundproof
-- Pronunciation: /ˈsaʊndˌpruf/
-- Tone: Neutral
-- Example: 1. The recording studio is soundproof. 2. Thick walls made the room soundproof. 3. I wish my office was soundproof.

قابل حمل | Portable
-- Pronunciation: /ˈpɔrtəbəl/
-- Tone: Positive
-- Synonyms: Mobile, Compact
-- Example: 1. A portable speaker. 2. Portable charger. 3. The device is lightweight and portable.

قابل تنظیم | Adjustable
-- Pronunciation: /əˈdʒʌstəbəl/
-- Tone: Positive
-- Example: 1. An adjustable chair. 2. Adjustable straps. 3. The height is adjustable.

یکبار مصرف | Disposable
-- Pronunciation: /dɪˈspoʊzəbəl/
-- Tone: Neutral
-- Example: 1. Disposable plates. 2. Disposable income. 3. Don't treat friends as disposable.

قابل بازیافت | Recyclable
-- Pronunciation: /riˈsaɪkləbəl/
-- Tone: Positive
-- Example: 1. Is this plastic recyclabale? 2. Recyclable materials. 3. Please put recyclable items in the blue bin.

قابل اشتعال | Flammable
-- Pronunciation: /ˈflæməbəl/
-- Tone: Warning
-- Synonyms: Combustible
-- Example: 1. Gasoline is highly flammable. 2. Keep flammable materials away from fire. 3. Non-flammable pajamas.

سمی | Toxic
-- Pronunciation: /ˈtɑksɪk/
-- Tone: Warning
-- Synonyms: Poisonous
-- Example: 1. Toxic chemicals. 2. A toxic relationship. 3. Toxic fumes.

کشنده | Lethal
-- Pronunciation: /ˈliːθəl/
-- Tone: Warning
-- Synonyms: Deadly, Fatal
-- Example: 1. A lethal dose of poison. 2. A lethal weapon. 3. The mixture can be lethal with alcohol.

بی‌ضرر | Harmless
-- Pronunciation: /ˈhɑrmləs/
-- Tone: Positive
-- Synonyms: Benign, Safe
-- Example: 1. It's just a harmless garden spider. 2. A harmless joke. 3. He seems scary but he's harmless.

مفید | Beneficial
-- Pronunciation: /ˌbɛnəˈfɪʃəl/
-- Tone: Positive
-- Synonyms: Helpful, Advantageous
-- Example: 1. Exercise is beneficial for health. 2. A beneficial agreement for both parties. 3. The rain was beneficial to the crops.

مضر | Detrimental
-- Pronunciation: /ˌdɛtrəˈmɛntəl/
-- Tone: negative
-- Synonyms: Harmful, Damaging
-- Example: 1. Smoking is detrimental to your lungs. 2. Detrimental effects on the environment. 3. It could be detrimental to your career.

الزامی | Mandatory
-- Pronunciation: /ˈmændəˌtɔri/
-- Tone: Formal
-- Synonyms: Compulsory, Required
-- Example: 1. Attendance is mandatory. 2. A mandatory meeting. 3. Wearing a seatbelt is mandatory.

اختیاری | Optional
-- Pronunciation: /ˈɑpʃənəl/
-- Tone: Neutral
-- Synonyms: Voluntary
-- Example: 1. The tour is optional. 2. Tipping is optional but appreciated. 3. An optional extra.

رسمی | Formal
-- Pronunciation: /ˈfɔrməl/
-- Tone: Neutral
-- Synonyms: Official
-- Example: 1. Formal attire is required. 2. A formal complaint. 3. He has no formal training.

غیررسمی | Casual
-- Pronunciation: /ˈkæʒuəl/
-- Tone: Neutral
-- Synonyms: Informal, Relaxed
-- Example: 1. Dress is casual. 2. A casual meeting. 3. A casual glance.

موقت | Temporary
-- Pronunciation: /ˈtɛmpəˌrɛri/
-- Tone: Neutral
-- Synonyms: Interim, Short-term
-- Example: 1. A temporary solution. 2. Temporary employment. 3. The pain is only temporary.

دائمی | Permanent
-- Pronunciation: /ˈpɜrmənənt/
-- Tone: Neutral
-- Synonyms: Lasting, Eternal
-- Example: 1. A permanent job. 2. Permanent marker. 3. Permanent damage.

سریع / فوری | Instant
-- Pronunciation: /ˈɪnstənt/
-- Tone: Neutral
-- Synonyms: Immediate
-- Example: 1. Instant coffee. 2. Instant messaging. 3. An instant success.

تدریجی | Gradual
-- Pronunciation: /ˈɡrædʒuəl/
-- Tone: Neutral
-- Synonyms: Slow, Progressive
-- Example: 1. A gradual improvement. 2. The incline is gradual. 3. A gradual change in temperature.

ناگهانی | Sudden
-- Pronunciation: /ˈsʌdən/
-- Tone: Neutral
-- Synonyms: Abrupt, Unexpected
-- Example: 1. A sudden stop. 2. All of a sudden, the lights went out. 3. A sudden death.

تصادفی | Accidental
-- Pronunciation: /ˌæksəˈdɛntəl/
-- Tone: Neutral
-- Synonyms: Unintentional
-- Example: 1. An accidental meeting. 2. Accidental damage. 3. It was purely accidental.

عمدی | Deliberate
-- Pronunciation: /dɪˈlɪbərət/
-- Tone: Neutral
-- Synonyms: Intentional, Calculated
-- Example: 1. A deliberate attack. 2. A deliberate choice. 3. He spoke in a slow, deliberate way.

مصنوعی | Artificial
-- Pronunciation: /ˌɑrtəˈfɪʃəl/
-- Tone: Neutral
-- Synonyms: Synthetic, Fake
-- Example: 1. Artificial intelligence. 2. Artificial flowers. 3. Artificial sweetener.

طبیعی | Natural
-- Pronunciation: /ˈnætʃərəl/
-- Tone: Positive
-- Synonyms: Organic, Innate
-- Example: 1. Natural ingredients. 2. It comes natural to him. 3. A natural disaster.

اصل / واقعی | Authentic
-- Pronunciation: /ɔˈθɛntɪk/
-- Tone: Positive
-- Synonyms: Genuine, Real
-- Example: 1. Authentic Italian food. 2. An authentic signature. 3. Be authentic to yourself.

تقلبی | Fake / Counterfeit
-- Pronunciation: /ˈkaʊntərˌfɪt/
-- Tone: Negative
-- Synonyms: Forged, Phony
-- Example: 1. Counterfeit money. 2. A fake smile. 3. Counterfeit goods are illegal.

انتزاعی | Abstract
-- Pronunciation: /ˈæbstrækt/
-- Tone: Neutral
-- Synonyms: Theoretical, Conceptual
-- Example: 1. Abstract art. 2. Abstract concept. 3. The essay was too abstract for me.

ملموس / عینی | Concrete
-- Pronunciation: /ˈkɑnkriːt/
-- Tone: Neutral
-- Synonyms: Tangible, Solid
-- Example: 1. Concrete evidence. 2. Gives me a concrete example. 3. Concrete jungle.

پیچیده | Sophisticated
-- Pronunciation: /səˈfɪstɪˌkeɪtɪd/
-- Tone: Positive
-- Synonyms: Complex, Refined, Advanced
-- Example: 1. A sophisticated device. 2. She has sophisticated taste. 3. Sophisticated technology.

ساده / ابتدایی | Primitive
-- Pronunciation: /ˈprɪmɪtɪv/
-- Tone: Neutral/Negative
-- Synonyms: Simple, Ancient
-- Example: 1. Primitive technology. 2. Primitive man. 3. Living in primitive conditions.

مدرن | Contemporary
-- Pronunciation: /kənˈtɛmpəˌrɛri/
-- Tone: Neutral
-- Synonyms: Modern, Current
-- Example: 1. Contemporary art. 2. Contemporary furniture. 3. Issues relevant to contemporary society.

سنتی | Conventional
-- Pronunciation: /kənˈvɛnʃənəl/
-- Tone: Neutral
-- Synonyms: Traditional, Standard
-- Example: 1. Conventional medicine. 2. Conventional wisdom. 3. A conventional oven.

غیرمتعارف | Unconventional
-- Pronunciation: /ˌʌnkənˈvɛnʃənəl/
-- Tone: Neutral
-- Synonyms: Unusual, Alternative
-- Example: 1. Unconventional methods. 2. An unconventional lifestyle. 3. Unconventional warfare.


آب از سر گذشتن | What's done is done / Miss the boat
-- Pronunciation: /mɪs ðə boʊt/
-- Tone: Idiom
-- Example: 1. I missed the boat on buying Bitcoin when it was cheap. 2. Stop worrying about the mistake; what's done is done. 3. He missed the boat for the promotion by not applying in time.

سنگ تمام گذاشتن | Go the extra mile
-- Pronunciation: /ɡoʊ ðə ˈɛkstrə maɪl/
-- Tone: Idiom
-- Example: 1. She always goes the extra mile for her customers. 2. To succeed in this job, you need to go the extra mile. 3. The teacher went the extra mile to help the struggling student.

دست روی دست گذاشتن | Sit on one's hands
-- Pronunciation: /sɪt ɑn wʌnz hændz/
-- Tone: Idiom
-- Example: 1. We can't just sit on our hands while the problem gets worse. 2. The police sat on their hands while the riot spread. 3. Instead of helping, he just sat on his hands.

موش و گربه بازی درآوردن | Play cat and mouse
-- Pronunciation: /pleɪ kæt æn maʊs/
-- Tone: Idiom
-- Example: 1. The police played cat and mouse with the criminal for weeks. 2. Stop playing cat and mouse and tell me the truth. 3. The two companies played a game of cat and mouse in the market.

از کاه کوه ساختن | Make a mountain out of a molehill
-- Pronunciation: /ˈmoʊlˌhɪl/
-- Tone: Idiom
-- Example: 1. Don't worry about it; you're making a mountain out of a molehill. 2. It's just a small scratch; don't make a mountain out of a molehill. 3. She tends to make a mountain out of a molehill whenever something goes wrong.

آبدیده شدن (در سختی) | Cut one's teeth
-- Pronunciation: /kʌt wʌnz tiːθ/
-- Tone: Idiom
-- Example: 1. He cut his teeth on local politics before running for Congress. 2. She cut her teeth as a journalist reporting on the war. 3. Where did you cut your teeth in this industry?

بر وفق مراد بودن | Go according to plan
-- Pronunciation: /əˈkɔrdɪŋ tu plæn/
-- Tone: Neutral
-- Example: 1. Everything went according to plan. 2. If the surgery goes according to plan, he will be home tomorrow. 3. Nothing is going according to plan today!

به سیم آخر زدن | Throw caution to the wind
-- Pronunciation: /θroʊ ˈkɔʃən tu ðə wɪnd/
-- Tone: Idiom
-- Example: 1. He threw caution to the wind and quit his job to travel. 2. They threw caution to the wind and got married after knowing each other for a week. 3. Sometimes you just have to throw caution to the wind.

پا پس کشیدن | Get cold feet
-- Pronunciation: /ɡɛt koʊld fiːt/
-- Tone: Idiom
-- Example: 1. The groom got cold feet right before the wedding. 2. I was going to bungee jump but I got cold feet. 3. Don't get cold feet now; we are almost there.

حرف کسی را قطع کردن | Cut someone off
-- Pronunciation: /kʌt ɔf/
-- Tone: Neutral
-- Example: 1. Sorry to cut you off, but we are out of time. 2. He rudely cut me off in the middle of a sentence. 3. The operator cut us off.

خونسرد بودن | Keep one's cool
-- Pronunciation: /kiːp wʌnz kuːl/
-- Tone: Idiom
-- Example: 1. He kept his cool despite the insults. 2. It's important to keep your cool in an emergency. 3. I lost my temper, but she kept her cool.

دست و پا گم کردن | Panic / Lose one's head
-- Pronunciation: /luːz wʌnz hɛd/
-- Tone: Idiom
-- Example: 1. Don't lose your head in an emergency. 2. He lost his head when he saw the fire. 3. Panic makes people lose their heads.

رو دست خوردن | Be taken for a ride
-- Pronunciation: /teɪkən fɔr ə raɪd/
-- Tone: Idiom
-- Example: 1. I paid too much for this car; I was taken for a ride. 2. Don't let them take you for a ride with their scams. 3. I gathered I had been taken for a ride.

زبانم مو درآورد | Sound like a broken record
-- Pronunciation: /saʊnd laɪk ə ˈbroʊkən ˈrɛkərd/
-- Tone: Idiom
-- Example: 1. I know I sound like a broken record, but please clean your room. 2. He sounds like a broken record complaining about his job. 3. Stop sounding like a broken record!

سر در آوردن (از کاری) | Get the hang of
-- Pronunciation: /ɡɛt ðə hæŋ əv/
-- Tone: Idiom
-- Example: 1. Programming is hard at first, but you'll get the hang of it. 2. It took me a while to get the hang of driving a manual car. 3. Once you get the hang of it, it's easy.

شانه خالی کردن | Weasel out
-- Pronunciation: /ˈwiːzəl aʊt/
-- Tone: Informal/Negative
-- Example: 1. He tried to weasel out of paying his share. 2. Don't try to weasel out of your responsibilities. 3. She weaseled out of the meeting by pretending to be sick.

قلق چیزی را داشتن | Have a knack for
-- Pronunciation: /hæv ə næk fɔr/
-- Tone: Idiom
-- Example: 1. She has a knack for interior design. 2. He has a knack for getting into trouble. 3. Do you have a knack for languages?

کاسه کوزه را سر کسی شکستن | Scapegoat
-- Pronunciation: /ˈskeɪpˌɡoʊt/
-- Tone: Neutral (Verb/Noun)
-- Example: 1. Don't use me as a scapegoat for your mistakes. 2. They made him the scapegoat for the company's failure. 3. Minorities are often scapegoated during economic crises.

گرگ در لباس میش | Wolf in sheep's clothing
-- Pronunciation: /wʊlf ɪn ʃiːps ˈkloʊðɪŋ/
-- Tone: Idiom
-- Example: 1. Be careful; he appears friendly but is a wolf in sheep's clothing. 2. The politician was a wolf in sheep's clothing. 3. Don't be fooled by his charm; he's a wolf in sheep's clothing.

مو را از ماست کشیدن | Splitting hairs
-- Pronunciation: /ˈsplɪtɪŋ hɛrz/
-- Tone: Idiom
-- Example: 1. Stop splitting hairs; the difference is negligible. 2. Arguing about who paid $1 more is just splitting hairs. 3. Let's not split hairs over definitions.

همه چیز را به شوخی گرفتن | Take lightly
-- Pronunciation: /teɪk ˈlaɪtli/
-- Tone: Neutral
-- Example: 1. This is a serious matter; don't take it lightly. 2. He takes his responsibilities very lightly. 3. Mental health should not be taken lightly.

یک کلاغ چهل کلاغ کردن | Exaggerate / Blow out of proportion
-- Pronunciation: /bloʊ aʊt əv prəˈpɔrʃən/
-- Tone: Idiom
-- Example: 1. The media blew the story out of proportion. 2. You are blowing this minor issue way out of proportion. 3. Don't blow things out of proportion.

یه دستی زدن | Example (Bluff)
-- Pronunciation: /blʌf/
-- Tone: Neutral
-- Example: 1. I think he's bluffing; he doesn't have a good hand. 2. Call his bluff and see what he does. 3. It was just a bluff to scare us.

آتو دست کسی دادن | Give someone leverage / Give ammo
-- Pronunciation: /ɡɪv ˈæmoʊ/
-- Tone: Informal
-- Example: 1. Don't post that photo; you're just giving your enemies ammo. 2. His angry email gave his boss the leverage to fire him. 3. Revealing your secrets gives others leverage over you.

پارتی بازی | Nepotism
-- Pronunciation: /ˈnɛpəˌtɪzəm/
-- Tone: Formal
-- Example: 1. He got the job through nepotism; his uncle is the boss. 2. The company is full of nepotism. 3. Laws against nepotism in government.

پز دادن | Show off / Brag
-- Pronunciation: /bræɡ/
-- Tone: Negative
-- Example: 1. Stop bragging about your new car. 2. He loves to show off his wealth. 3. Nobody likes a show-off.

چشم و هم‌چشمی | Keeping up with the Joneses
-- Pronunciation: /ˈkiːpɪŋ ʌp wɪð ðə ˈdʒoʊnzɪz/
-- Tone: Idiom
-- Example: 1. They bought a boat just to keep up with the Joneses. 2. We live simply and don't care about keeping up with the Joneses. 3. It's a rat race trying to keep up with the Joneses.

خاله زنک بازی | Gossip
-- Pronunciation: /ˈɡɑsɪp/
-- Tone: Neutral
-- Example: 1. I hate office gossip. 2. Did you hear the latest gossip? 3. She loves to gossip about her neighbors.

دست پیش گرفتن | Turn the tables
-- Pronunciation: /tɜrn ðə ˈteɪbəlz/
-- Tone: Idiom
-- Example: 1. She turned the tables on her accuser. 2. Originally the underdog, the team turned the tables and won. 3. The tables have turned.

دندان گرد | Greedy
-- Pronunciation: /ˈɡriːdi/
-- Tone: Negative
-- Example: 1. Don't be greedy. 2. A greedy landlord raised the rent. 3. He looked at the cake with greedy eyes.

رک و پوست کنده | Blunt / Straightforward
-- Pronunciation: /blʌnt/
-- Tone: Neutral
-- Example: 1. To be blunt, your work is not good enough. 2. She is very straightforward and honest. 3. A blunt refusal.

سر کیسه را شل کردن | Splurge
-- Pronunciation: /splɜrdʒ/
-- Tone: Informal
-- Example: 1. I splurged on a new handbag. 2. Let's splurge and go to a fancy restaurant. 3. She likes to splurge on shoes.

کم آوردن (در بحث) | Lose the argument
-- Pronunciation: /luːz/
-- Tone: Neutral
-- Example: 1. You know you've lost the argument when you start shouting. 2. He admitted he had lost the argument. 3. Don't change the subject just because you're losing the argument.

لفت دادن | Stall / Drag one's feet
-- Pronunciation: /dræɡ wʌnz fiːt/
-- Tone: Idiom
-- Example: 1. The government is dragging its feet on the new law. 2. Stop stalling and give me an answer. 3. He dragged his feet about going to the doctor.

نان کسی را آجر کردن | Take the bread out of someone's mouth
-- Pronunciation: /teɪk ðə brɛd aʊt əv mɑʊθ/
-- Tone: Idiom
-- Example: 1. By opening a store right next door, you're taking the bread out of my mouth. 2. Automation is taking the bread out of workers' mouths. 3. I won't let you take the bread out of my children's mouths.

نق زدن | Nag
-- Pronunciation: /næɡ/
-- Tone: Negative
-- Example: 1. Stop nagging me to clean my room. 2. My wife nags me about my smoking. 3. A nagging pain in my back.

نمک نشناس | Ungrateful
-- Pronunciation: /ʌnˈɡreɪtfəl/
-- Tone: Negative
-- Example: 1. She is so ungrateful for all your help. 2. An ungrateful child. 3. Don't be ungrateful.

